	herb_id	herb_name	herb_type	target	Resource
173	HBIN033621	l-tryptophan	Amino acid	RPS5	Mahuang
174	HBIN033621	l-tryptophan	Amino acid	CPQ	Mahuang
175	HBIN033621	l-tryptophan	Amino acid	GGCT	Mahuang
176	HBIN033621	l-tryptophan	Amino acid	MASP1	Mahuang
177	HBIN033621	l-tryptophan	Amino acid	PSMD13	Mahuang
178	HBIN033621	l-tryptophan	Amino acid	IMP3	Mahuang
179	HBIN033621	l-tryptophan	Amino acid	PSMA8	Mahuang
180	HBIN033621	l-tryptophan	Amino acid	PSMB5	Mahuang
181	HBIN033621	l-tryptophan	Amino acid	PSMD5	Mahuang
182	HBIN033621	l-tryptophan	Amino acid	RPS14	Mahuang
183	HBIN033621	l-tryptophan	Amino acid	RNPEPL1	Mahuang
184	HBIN033621	l-tryptophan	Amino acid	CORIN	Mahuang
185	HBIN033621	l-tryptophan	Amino acid	ACCSL	Mahuang
186	HBIN033621	l-tryptophan	Amino acid	PRSS33	Mahuang
187	HBIN033621	l-tryptophan	Amino acid	RPS20	Mahuang
188	HBIN033621	l-tryptophan	Amino acid	PSMD11	Mahuang
189	HBIN033621	l-tryptophan	Amino acid	IDO2	Mahuang
190	HBIN033621	l-tryptophan	Amino acid	CTRL	Mahuang
191	HBIN033621	l-tryptophan	Amino acid	RPS15	Mahuang
192	HBIN033621	l-tryptophan	Amino acid	RPS3	Mahuang
193	HBIN033621	l-tryptophan	Amino acid	CHRM4	Mahuang
194	HBIN033621	l-tryptophan	Amino acid	PSMB4	Mahuang
195	HBIN033621	l-tryptophan	Amino acid	TPP2	Mahuang
196	HBIN033621	l-tryptophan	Amino acid	C1S	Mahuang
197	HBIN033621	l-tryptophan	Amino acid	PSME3	Mahuang
198	HBIN033621	l-tryptophan	Amino acid	TPSD1	Mahuang
199	HBIN033621	l-tryptophan	Amino acid	ERMP1	Mahuang
200	HBIN033621	l-tryptophan	Amino acid	SLC6A17	Mahuang
201	HBIN033621	l-tryptophan	Amino acid	SLC6A1	Mahuang
202	HBIN033621	l-tryptophan	Amino acid	TMPRSS11F	Mahuang
203	HBIN033621	l-tryptophan	Amino acid	PLAU	Mahuang
204	HBIN033621	l-tryptophan	Amino acid	PRSS37	Mahuang
205	HBIN033621	l-tryptophan	Amino acid	HP	Mahuang
206	HBIN033621	l-tryptophan	Amino acid	GZMH	Mahuang
207	HBIN033621	l-tryptophan	Amino acid	TMPRSS11D	Mahuang
208	HBIN033621	l-tryptophan	Amino acid	ST14	Mahuang
209	HBIN033621	l-tryptophan	Amino acid	GPT2	Mahuang
210	HBIN033621	l-tryptophan	Amino acid	PSMA4	Mahuang
211	HBIN033621	l-tryptophan	Amino acid	NAALAD2	Mahuang
212	HBIN033621	l-tryptophan	Amino acid	HPR	Mahuang
213	HBIN033621	l-tryptophan	Amino acid	ELANE	Mahuang
214	HBIN033621	l-tryptophan	Amino acid	OVCH1	Mahuang
215	HBIN033621	l-tryptophan	Amino acid	HLA-C	Mahuang
216	HBIN033621	l-tryptophan	Amino acid	TMPRSS5	Mahuang
217	HBIN033621	l-tryptophan	Amino acid	LTA4H	Mahuang
218	HBIN033621	l-tryptophan	Amino acid	MRPS7	Mahuang
219	HBIN033621	l-tryptophan	Amino acid	TH	Mahuang
220	HBIN033621	l-tryptophan	Amino acid	SLC6A16	Mahuang
221	HBIN033621	l-tryptophan	Amino acid	CFD	Mahuang
222	HBIN033621	l-tryptophan	Amino acid	PRSS12	Mahuang
223	HBIN033621	l-tryptophan	Amino acid	PRSS1	Mahuang
224	HBIN033621	l-tryptophan	Amino acid	CTRC	Mahuang
225	HBIN033621	l-tryptophan	Amino acid	SLC6A12	Mahuang
226	HBIN033621	l-tryptophan	Amino acid	KLK5	Mahuang
227	HBIN033621	l-tryptophan	Amino acid	PRSS21	Mahuang
228	HBIN033621	l-tryptophan	Amino acid	TAT	Mahuang
229	HBIN033621	l-tryptophan	Amino acid	SLC6A4	Mahuang
230	HBIN033621	l-tryptophan	Amino acid	TPSAB1	Mahuang
231	HBIN033621	l-tryptophan	Amino acid	RPSA	Mahuang
232	HBIN033621	l-tryptophan	Amino acid	TDO2	Mahuang
233	HBIN033621	l-tryptophan	Amino acid	NAALADL1	Mahuang
234	HBIN033621	l-tryptophan	Amino acid	MRPS5	Mahuang
235	HBIN033621	l-tryptophan	Amino acid	SLC6A19	Mahuang
236	HBIN033621	l-tryptophan	Amino acid	HGF	Mahuang
237	HBIN033621	l-tryptophan	Amino acid	PSMA3	Mahuang
238	HBIN033621	l-tryptophan	Amino acid	PSMB1	Mahuang
239	HBIN033621	l-tryptophan	Amino acid	SLC6A8	Mahuang
240	HBIN033621	l-tryptophan	Amino acid	PSMD12	Mahuang
241	HBIN033621	l-tryptophan	Amino acid	NPEPPS	Mahuang
242	HBIN033621	l-tryptophan	Amino acid	GPT	Mahuang
243	HBIN033621	l-tryptophan	Amino acid	PRSS54	Mahuang
244	HBIN033621	l-tryptophan	Amino acid	GZMM	Mahuang
245	HBIN033621	l-tryptophan	Amino acid	PSMC5	Mahuang
246	HBIN033621	l-tryptophan	Amino acid	AGO2	Mahuang
247	HBIN033621	l-tryptophan	Amino acid	F11	Mahuang
248	HBIN033621	l-tryptophan	Amino acid	SLC7A8	Mahuang
249	HBIN033621	l-tryptophan	Amino acid	TPH1	Mahuang
250	HBIN033621	l-tryptophan	Amino acid	CTSS	Mahuang
251	HBIN033621	l-tryptophan	Amino acid	ERAP1	Mahuang
252	HBIN033621	l-tryptophan	Amino acid	CNOT1	Mahuang
253	HBIN033621	l-tryptophan	Amino acid	SLC3A2	Mahuang
254	HBIN033621	l-tryptophan	Amino acid	MRPS15	Mahuang
255	HBIN033621	l-tryptophan	Amino acid	TMPRSS11A	Mahuang
256	HBIN033621	l-tryptophan	Amino acid	KLKB1	Mahuang
257	HBIN033621	l-tryptophan	Amino acid	HLA-B	Mahuang
258	HBIN033621	l-tryptophan	Amino acid	CNOT9	Mahuang
259	HBIN033621	l-tryptophan	Amino acid	CTRB2	Mahuang
260	HBIN033621	l-tryptophan	Amino acid	BLMH	Mahuang
261	HBIN033621	l-tryptophan	Amino acid	PSMD2	Mahuang
262	HBIN033621	l-tryptophan	Amino acid	F10	Mahuang
263	HBIN033621	l-tryptophan	Amino acid	PSMF1	Mahuang
264	HBIN033621	l-tryptophan	Amino acid	DAO	Mahuang
265	HBIN033621	l-tryptophan	Amino acid	MRPS16	Mahuang
266	HBIN033621	l-tryptophan	Amino acid	TMPRSS11B	Mahuang
267	HBIN033621	l-tryptophan	Amino acid	ANPEP	Mahuang
268	HBIN033621	l-tryptophan	Amino acid	PSMC3	Mahuang
269	HBIN033621	l-tryptophan	Amino acid	PRTN3	Mahuang
270	HBIN033621	l-tryptophan	Amino acid	SLC16A10	Mahuang
271	HBIN033621	l-tryptophan	Amino acid	PRSS48	Mahuang
272	HBIN033621	l-tryptophan	Amino acid	PSMD4	Mahuang
273	HBIN033621	l-tryptophan	Amino acid	RPS27A	Mahuang
274	HBIN033621	l-tryptophan	Amino acid	RPS9	Mahuang
275	HBIN033621	l-tryptophan	Amino acid	HLA-A	Mahuang
276	HBIN033621	l-tryptophan	Amino acid	F2	Mahuang
277	HBIN033621	l-tryptophan	Amino acid	WARS1	Mahuang
278	HBIN033621	l-tryptophan	Amino acid	PRSS36	Mahuang
279	HBIN033621	l-tryptophan	Amino acid	PRSS42P	Mahuang
280	HBIN033621	l-tryptophan	Amino acid	TMPRSS12	Mahuang
281	HBIN033621	l-tryptophan	Amino acid	RPS23	Mahuang
282	HBIN033621	l-tryptophan	Amino acid	F7	Mahuang
283	HBIN033621	l-tryptophan	Amino acid	PLAT	Mahuang
284	HBIN033621	l-tryptophan	Amino acid	KLK10	Mahuang
285	HBIN033621	l-tryptophan	Amino acid	MRPS2	Mahuang
286	HBIN033621	l-tryptophan	Amino acid	CTRB1	Mahuang
287	HBIN033621	l-tryptophan	Amino acid	UBB	Mahuang
288	HBIN033621	l-tryptophan	Amino acid	PRSS38	Mahuang
289	HBIN033621	l-tryptophan	Amino acid	THOP1	Mahuang
290	HBIN033621	l-tryptophan	Amino acid	TMPRSS9	Mahuang
291	HBIN033621	l-tryptophan	Amino acid	MST1	Mahuang
292	HBIN033621	l-tryptophan	Amino acid	KLK9	Mahuang
293	HBIN033621	l-tryptophan	Amino acid	F9	Mahuang
294	HBIN033621	l-tryptophan	Amino acid	PROC	Mahuang
295	HBIN033621	l-tryptophan	Amino acid	MASP2	Mahuang
296	HBIN033621	l-tryptophan	Amino acid	MRPS9	Mahuang
297	HBIN033621	l-tryptophan	Amino acid	PSMB10	Mahuang
298	HBIN033621	l-tryptophan	Amino acid	ENPEP	Mahuang
299	HBIN033621	l-tryptophan	Amino acid	KLK6	Mahuang
300	HBIN033621	l-tryptophan	Amino acid	PSMA7	Mahuang
301	HBIN033621	l-tryptophan	Amino acid	PRSS57	Mahuang
302	HBIN033621	l-tryptophan	Amino acid	CFB	Mahuang
303	HBIN033621	l-tryptophan	Amino acid	PSMD7	Mahuang
304	HBIN033621	l-tryptophan	Amino acid	KLK11	Mahuang
305	HBIN033621	l-tryptophan	Amino acid	PSMB2	Mahuang
306	HBIN033621	l-tryptophan	Amino acid	PSMC4	Mahuang
307	HBIN033621	l-tryptophan	Amino acid	TMPRSS11E	Mahuang
308	HBIN033621	l-tryptophan	Amino acid	CELA1	Mahuang
309	HBIN033621	l-tryptophan	Amino acid	GZMK	Mahuang
310	HBIN033621	l-tryptophan	Amino acid	PSME2	Mahuang
311	HBIN033621	l-tryptophan	Amino acid	CELA3A	Mahuang
312	HBIN033621	l-tryptophan	Amino acid	KLK15	Mahuang
313	HBIN033621	l-tryptophan	Amino acid	TMPRSS6	Mahuang
314	HBIN033621	l-tryptophan	Amino acid	TFRC	Mahuang
315	HBIN033621	l-tryptophan	Amino acid	HPN	Mahuang
316	HBIN033621	l-tryptophan	Amino acid	KLK2	Mahuang
317	HBIN033621	l-tryptophan	Amino acid	PRSS40A	Mahuang
318	HBIN033621	l-tryptophan	Amino acid	UBC	Mahuang
319	HBIN033621	l-tryptophan	Amino acid	ERAP2	Mahuang
320	HBIN033621	l-tryptophan	Amino acid	PSME4	Mahuang
321	HBIN033621	l-tryptophan	Amino acid	PROZ	Mahuang
322	HBIN033621	l-tryptophan	Amino acid	KLK8	Mahuang
323	HBIN033621	l-tryptophan	Amino acid	PSMD3	Mahuang
324	HBIN033621	l-tryptophan	Amino acid	IDO1	Mahuang
325	HBIN033621	l-tryptophan	Amino acid	GZMA	Mahuang
326	HBIN033621	l-tryptophan	Amino acid	TMPRSS2	Mahuang
327	HBIN033621	l-tryptophan	Amino acid	TMPRSS7	Mahuang
328	HBIN033621	l-tryptophan	Amino acid	MRPS18C	Mahuang
329	HBIN033621	l-tryptophan	Amino acid	TMPRSS4	Mahuang
330	HBIN033621	l-tryptophan	Amino acid	RPS29	Mahuang
331	HBIN033621	l-tryptophan	Amino acid	PLG	Mahuang
332	HBIN033621	l-tryptophan	Amino acid	PRSS50	Mahuang
333	HBIN033621	l-tryptophan	Amino acid	SLC6A11	Mahuang
334	HBIN033621	l-tryptophan	Amino acid	IL4I1	Mahuang
335	HBIN033621	l-tryptophan	Amino acid	CRH	Mahuang
336	HBIN033621	l-tryptophan	Amino acid	PSMA5	Mahuang
337	HBIN033621	l-tryptophan	Amino acid	MIPEP	Mahuang
338	HBIN033621	l-tryptophan	Amino acid	SLC6A7	Mahuang
339	HBIN033621	l-tryptophan	Amino acid	MRPS18A	Mahuang
